At time                    0, clk_in = 0, clk_out = x
At time                10000, clk_in = 1, clk_out = 0
At time                20000, clk_in = 0, clk_out = 0
At time                30000, clk_in = 1, clk_out = 0
At time                40000, clk_in = 0, clk_out = 0
At time                50000, clk_in = 1, clk_out = 0
At time                60000, clk_in = 0, clk_out = 0
At time                70000, clk_in = 1, clk_out = 0
At time                80000, clk_in = 0, clk_out = 0
At time                90000, clk_in = 1, clk_out = 0
At time               100000, clk_in = 0, clk_out = 0
At time               110000, clk_in = 1, clk_out = 0
At time               120000, clk_in = 0, clk_out = 0
At time               130000, clk_in = 1, clk_out = 0
At time               140000, clk_in = 0, clk_out = 0
At time               150000, clk_in = 1, clk_out = 0
At time               160000, clk_in = 0, clk_out = 0
At time               170000, clk_in = 1, clk_out = 1
At time               180000, clk_in = 0, clk_out = 1
At time               190000, clk_in = 1, clk_out = 1
At time               200000, clk_in = 0, clk_out = 1
At time               210000, clk_in = 1, clk_out = 1
At time               220000, clk_in = 0, clk_out = 1
At time               230000, clk_in = 1, clk_out = 1
At time               240000, clk_in = 0, clk_out = 1
At time               250000, clk_in = 1, clk_out = 1
At time               260000, clk_in = 0, clk_out = 1
At time               270000, clk_in = 1, clk_out = 1
At time               280000, clk_in = 0, clk_out = 1
At time               290000, clk_in = 1, clk_out = 1
At time               300000, clk_in = 0, clk_out = 1
At time               310000, clk_in = 1, clk_out = 1
At time               320000, clk_in = 0, clk_out = 1
At time               330000, clk_in = 1, clk_out = 0
At time               340000, clk_in = 0, clk_out = 0
At time               350000, clk_in = 1, clk_out = 0
At time               360000, clk_in = 0, clk_out = 0
At time               370000, clk_in = 1, clk_out = 0
At time               380000, clk_in = 0, clk_out = 0
At time               390000, clk_in = 1, clk_out = 0
At time               400000, clk_in = 0, clk_out = 0
At time               410000, clk_in = 1, clk_out = 0
At time               420000, clk_in = 0, clk_out = 0
At time               430000, clk_in = 1, clk_out = 0
At time               440000, clk_in = 0, clk_out = 0
At time               450000, clk_in = 1, clk_out = 0
At time               460000, clk_in = 0, clk_out = 0
At time               470000, clk_in = 1, clk_out = 0
At time               480000, clk_in = 0, clk_out = 0
At time               490000, clk_in = 1, clk_out = 1
At time               500000, clk_in = 0, clk_out = 1
At time               510000, clk_in = 1, clk_out = 1
At time               520000, clk_in = 0, clk_out = 1
At time               530000, clk_in = 1, clk_out = 1
At time               540000, clk_in = 0, clk_out = 1
At time               550000, clk_in = 1, clk_out = 1
At time               560000, clk_in = 0, clk_out = 1
At time               570000, clk_in = 1, clk_out = 1
At time               580000, clk_in = 0, clk_out = 1
At time               590000, clk_in = 1, clk_out = 1
At time               600000, clk_in = 0, clk_out = 1
At time               610000, clk_in = 1, clk_out = 1
At time               620000, clk_in = 0, clk_out = 1
At time               630000, clk_in = 1, clk_out = 1
At time               640000, clk_in = 0, clk_out = 1
At time               650000, clk_in = 1, clk_out = 0
At time               660000, clk_in = 0, clk_out = 0
At time               670000, clk_in = 1, clk_out = 0
At time               680000, clk_in = 0, clk_out = 0
At time               690000, clk_in = 1, clk_out = 0
At time               700000, clk_in = 0, clk_out = 0
At time               710000, clk_in = 1, clk_out = 0
At time               720000, clk_in = 0, clk_out = 0
At time               730000, clk_in = 1, clk_out = 0
At time               740000, clk_in = 0, clk_out = 0
At time               750000, clk_in = 1, clk_out = 0
At time               760000, clk_in = 0, clk_out = 0
At time               770000, clk_in = 1, clk_out = 0
At time               780000, clk_in = 0, clk_out = 0
At time               790000, clk_in = 1, clk_out = 0
At time               800000, clk_in = 0, clk_out = 0
At time               810000, clk_in = 1, clk_out = 1
At time               820000, clk_in = 0, clk_out = 1
At time               830000, clk_in = 1, clk_out = 1
At time               840000, clk_in = 0, clk_out = 1
At time               850000, clk_in = 1, clk_out = 1
At time               860000, clk_in = 0, clk_out = 1
At time               870000, clk_in = 1, clk_out = 1
At time               880000, clk_in = 0, clk_out = 1
At time               890000, clk_in = 1, clk_out = 1
At time               900000, clk_in = 0, clk_out = 1
At time               910000, clk_in = 1, clk_out = 1
At time               920000, clk_in = 0, clk_out = 1
At time               930000, clk_in = 1, clk_out = 1
At time               940000, clk_in = 0, clk_out = 1
At time               950000, clk_in = 1, clk_out = 1
At time               960000, clk_in = 0, clk_out = 1
At time               970000, clk_in = 1, clk_out = 0
At time               980000, clk_in = 0, clk_out = 0
At time               990000, clk_in = 1, clk_out = 0
At time              1000000, clk_in = 0, clk_out = 0
INFO: [USF-XSim-96] XSim completed. Design snapshot 'tb_behav' loaded.
INFO: [USF-XSim-97] XSim simulation ran for 1000ns
launch_simulation: Time (s): cpu = 00:00:02 ; elapsed = 00:00:07 . Memory (MB): peak = 2476.852 ; gain = 0.000
